year,month,day,hour,NO2_prediction
2019,7,25,0,1.5024711
2019,7,25,1,1.6673895
2019,7,25,2,2.7444592
2019,7,25,3,4.778599
2019,7,25,4,8.093668
2019,7,25,5,11.528347
2019,7,25,6,13.851465
2019,7,25,7,15.004339
2019,7,25,8,15.501175
2019,7,25,9,16.045427
2019,7,25,10,17.134634
2019,7,25,11,19.02107
2019,7,25,12,21.732843
2019,7,25,13,25.49232
2019,7,25,14,29.846703
2019,7,25,15,32.997322
2019,7,25,16,33.711376
2019,7,25,17,32.264328
2019,7,25,18,30.154837
2019,7,25,19,28.416306
2019,7,25,20,27.201002
2019,7,25,21,26.389072
2019,7,25,22,25.934801
2019,7,25,23,25.794743
2019,8,2,0,19.013403
2019,8,2,1,17.842123
2019,8,2,2,17.728859
2019,8,2,3,17.251001
2019,8,2,4,16.335777
2019,8,2,5,15.106909
2019,8,2,6,13.918153
2019,8,2,7,12.817869
2019,8,2,8,12.057251
2019,8,2,9,11.795748
2019,8,2,10,12.334102
2019,8,2,11,14.040345
2019,8,2,12,17.146793
2019,8,2,13,21.695803
2019,8,2,14,26.380274
2019,8,2,15,29.927855
2019,8,2,16,31.680664
2019,8,2,17,31.861425
2019,8,2,18,31.00116
2019,8,2,19,29.794073
2019,8,2,20,28.29434
2019,8,2,21,26.777609
2019,8,2,22,25.149527
2019,8,2,23,23.614878
2019,8,8,0,23.256754
2019,8,8,1,22.59836
2019,8,8,2,21.496887
2019,8,8,3,19.858541
2019,8,8,4,17.792387
2019,8,8,5,15.81545
2019,8,8,6,14.241999
2019,8,8,7,12.989843
2019,8,8,8,12.1462555
2019,8,8,9,11.816055
2019,8,8,10,12.061832
2019,8,8,11,13.064107
2019,8,8,12,14.906178
2019,8,8,13,17.611706
2019,8,8,14,20.895893
2019,8,8,15,23.802608
2019,8,8,16,25.669691
2019,8,8,17,26.377104
2019,8,8,18,26.218098
2019,8,8,19,25.517591
2019,8,8,20,24.361906
2019,8,8,21,22.914324
2019,8,8,22,21.884604
2019,8,8,23,21.491652
2019,8,9,0,22.088102
2019,8,9,1,22.355066
2019,8,9,2,21.920336
2019,8,9,3,20.58333
2019,8,9,4,18.524097
2019,8,9,5,16.221888
2019,8,9,6,14.347053
2019,8,9,7,12.8635235
2019,8,9,8,11.958155
2019,8,9,9,11.845354
2019,8,9,10,12.569625
2019,8,9,11,14.149641
2019,8,9,12,16.52933
2019,8,9,13,19.73779
2019,8,9,14,22.940725
2019,8,9,15,25.25714
2019,8,9,16,26.49621
2019,8,9,17,26.6915
2019,8,9,18,26.194492
2019,8,9,19,25.134205
2019,8,9,20,23.817549
2019,8,9,21,22.264551
2019,8,9,22,20.758102
2019,8,9,23,19.604313
2019,8,11,0,21.162914
2019,8,11,1,21.727526
2019,8,11,2,21.233662
2019,8,11,3,19.557852
2019,8,11,4,17.470482
2019,8,11,5,15.565535
2019,8,11,6,13.933739
2019,8,11,7,12.547832
2019,8,11,8,11.588049
2019,8,11,9,11.201632
2019,8,11,10,11.744075
2019,8,11,11,13.654379
2019,8,11,12,17.363806
2019,8,11,13,22.723032
2019,8,11,14,28.868597
2019,8,11,15,33.970222
2019,8,11,16,36.808334
2019,8,11,17,37.15295
2019,8,11,18,35.865536
2019,8,11,19,33.95179
2019,8,11,20,32.09296
2019,8,11,21,30.491013
2019,8,11,22,29.099989
2019,8,11,23,27.991411
2019,8,22,0,28.921602
2019,8,22,1,29.12897
2019,8,22,2,27.808245
2019,8,22,3,24.983261
2019,8,22,4,21.755705
2019,8,22,5,18.623802
2019,8,22,6,15.999582
2019,8,22,7,14.188705
2019,8,22,8,13.181141
2019,8,22,9,13.018818
2019,8,22,10,13.755032
2019,8,22,11,15.448375
2019,8,22,12,18.34826
2019,8,22,13,22.338652
2019,8,22,14,26.63474
2019,8,22,15,30.012411
2019,8,22,16,31.338432
2019,8,22,17,30.60557
2019,8,22,18,29.017612
2019,8,22,19,27.147219
2019,8,22,20,25.48356
2019,8,22,21,24.232
2019,8,22,22,23.498444
2019,8,22,23,23.164112
2019,8,23,0,20.686945
2019,8,23,1,20.0335
2019,8,23,2,19.768345
2019,8,23,3,18.963608
2019,8,23,4,17.506361
2019,8,23,5,15.8756895
2019,8,23,6,14.370725
2019,8,23,7,13.109395
2019,8,23,8,12.326714
2019,8,23,9,12.282124
2019,8,23,10,13.207426
2019,8,23,11,15.290336
2019,8,23,12,19.023317
2019,8,23,13,23.86598
2019,8,23,14,28.795988
2019,8,23,15,32.42596
2019,8,23,16,33.940834
2019,8,23,17,33.59706
2019,8,23,18,32.08936
2019,8,23,19,30.32772
2019,8,23,20,28.562513
2019,8,23,21,26.719992
2019,8,23,22,24.93094
2019,8,23,23,23.492886
2019,8,30,0,23.640295
2019,8,30,1,23.39044
2019,8,30,2,22.412022
2019,8,30,3,20.3594
2019,8,30,4,17.88774
2019,8,30,5,15.699586
2019,8,30,6,13.95726
2019,8,30,7,12.668673
2019,8,30,8,11.926975
2019,8,30,9,11.618767
2019,8,30,10,11.789254
2019,8,30,11,12.642423
2019,8,30,12,14.545383
2019,8,30,13,17.52798
2019,8,30,14,21.635572
2019,8,30,15,25.428057
2019,8,30,16,27.765894
2019,8,30,17,28.407892
2019,8,30,18,27.90236
2019,8,30,19,26.96815
2019,8,30,20,25.921854
2019,8,30,21,24.874094
2019,8,30,22,23.989038
2019,8,30,23,23.350561
2019,9,4,0,23.666452
2019,9,4,1,23.60481
2019,9,4,2,23.087786
2019,9,4,3,21.808262
2019,9,4,4,19.436012
2019,9,4,5,16.561766
2019,9,4,6,13.933199
2019,9,4,7,11.825922
2019,9,4,8,10.317025
2019,9,4,9,9.630778
2019,9,4,10,10.133087
2019,9,4,11,12.477734
2019,9,4,12,17.237461
2019,9,4,13,23.68613
2019,9,4,14,30.019888
2019,9,4,15,34.310482
2019,9,4,16,35.964874
2019,9,4,17,35.40316
2019,9,4,18,33.51941
2019,9,4,19,31.420084
2019,9,4,20,29.344868
2019,9,4,21,27.503658
2019,9,4,22,25.858673
2019,9,4,23,24.676554
2019,9,11,0,23.433186
2019,9,11,1,22.954233
2019,9,11,2,22.457754
2019,9,11,3,20.892351
2019,9,11,4,18.355362
2019,9,11,5,15.699181
2019,9,11,6,13.532135
2019,9,11,7,11.871112
2019,9,11,8,10.863379
2019,9,11,9,10.442532
2019,9,11,10,10.853756
2019,9,11,11,12.283019
2019,9,11,12,15.101958
2019,9,11,13,19.06499
2019,9,11,14,23.673395
2019,9,11,15,27.135956
2019,9,11,16,28.774668
2019,9,11,17,28.648603
2019,9,11,18,27.612495
2019,9,11,19,26.343515
2019,9,11,20,25.535727
2019,9,11,21,24.337173
2019,9,11,22,23.169912
2019,9,11,23,22.540894
2019,9,13,0,16.6233
2019,9,13,1,15.280579
2019,9,13,2,14.519007
2019,9,13,3,13.584973
2019,9,13,4,12.560717
2019,9,13,5,11.418146
2019,9,13,6,10.321614
2019,9,13,7,9.329722
2019,9,13,8,8.798012
2019,9,13,9,8.915428
2019,9,13,10,9.928904
2019,9,13,11,12.039394
2019,9,13,12,14.982446
2019,9,13,13,18.338984
2019,9,13,14,21.276178
2019,9,13,15,23.412977
2019,9,13,16,24.302877
2019,9,13,17,23.861202
2019,9,13,18,22.69293
2019,9,13,19,21.38825
2019,9,13,20,20.217264
2019,9,13,21,18.98089
